,Unnamed: 0,Month,Year,Name,Account,Service,Cost,Enviroment,Month No
264,51,OCT,2023,Entercom Communications,724972922289,Amazon Athena,129.156943775,,10
265,52,OCT,2023,Entercom Communications,724972922289,Amazon CloudFront,16235.7137250838,,10
266,53,OCT,2023,Entercom Communications,724972922289,Amazon CloudFront,0.0230018997,,10
267,54,OCT,2023,Entercom Communications,724972922289,Amazon CloudFront,30.3179082904,,10
268,55,OCT,2023,Entercom Communications,724972922289,Amazon CloudFront,1180.8446260514,,10
269,56,OCT,2023,Entercom Communications,724972922289,Amazon CloudFront,1.822e-07,,10
270,57,OCT,2023,Entercom Communications,724972922289,Amazon CloudFront,8.44706e-05,,10
271,58,OCT,2023,Entercom Communications,724972922289,Amazon Cognito,7.751325,,10
272,59,OCT,2023,Entercom Communications,724972922289,Amazon DataZone,0.0,,10
273,60,OCT,2023,Entercom Communications,724972922289,Amazon Detective,497.1161663163,,10
274,61,OCT,2023,Entercom Communications,724972922289,Amazon DocumentDB (with MongoDB compatibility),154.4434741297,,10
275,62,OCT,2023,Entercom Communications,724972922289,Amazon DocumentDB (with MongoDB compatibility),300.098819744,,10
276,63,OCT,2023,Entercom Communications,724972922289,Amazon DocumentDB (with MongoDB compatibility),129.0010041619,,10
277,64,OCT,2023,Entercom Communications,724972922289,Amazon DynamoDB,136.8178735415,,10
278,65,OCT,2023,Entercom Communications,724972922289,Amazon DynamoDB,2.767128,,10
279,66,OCT,2023,Entercom Communications,724972922289,Amazon DynamoDB,7.302667929,,10
280,67,OCT,2023,Entercom Communications,724972922289,Amazon DynamoDB,162.2684794526,,10
281,68,OCT,2023,Entercom Communications,724972922289,Amazon DynamoDB,2.7671280526,,10
282,69,OCT,2023,Entercom Communications,724972922289,Amazon EC2 Container Registry (ECR),132.9935832273,,10
283,70,OCT,2023,Entercom Communications,724972922289,Amazon EC2 Container Registry (ECR),0.0331309152,,10
284,71,OCT,2023,Entercom Communications,724972922289,Amazon EC2 Container Registry (ECR),0.1007574648,,10
285,72,OCT,2023,Entercom Communications,724972922289,Amazon EC2 Container Registry (ECR),0.3638285736,,10
286,73,OCT,2023,Entercom Communications,724972922289,Amazon EC2 Container Registry (ECR),212.6457647634,,10
287,74,OCT,2023,Entercom Communications,724972922289,Amazon EC2 Container Registry (ECR),202.9943923376,,10
288,75,OCT,2023,Entercom Communications,724972922289,Amazon ElastiCache,6748.68636,,10
289,76,OCT,2023,Entercom Communications,724972922289,Amazon ElastiCache,307.03392,,10
290,77,OCT,2023,Entercom Communications,724972922289,Amazon ElastiCache,6671.24913,,10
291,78,OCT,2023,Entercom Communications,724972922289,Amazon ElastiCache,420.15168,,10
292,79,OCT,2023,Entercom Communications,724972922289,Amazon ElastiCache,4386.00648,,10
293,80,OCT,2023,Entercom Communications,724972922289,Amazon ElastiCache,517.10976,,10
294,81,OCT,2023,Entercom Communications,724972922289,EC2 - Other,39693.5538498093,,10
295,82,OCT,2023,Entercom Communications,724972922289,EC2 - Other,0.7405410053,,10
296,83,OCT,2023,Entercom Communications,724972922289,EC2 - Other,0.0033256278,,10
297,84,OCT,2023,Entercom Communications,724972922289,EC2 - Other,30.2994067214,,10
298,85,OCT,2023,Entercom Communications,724972922289,EC2 - Other,1389.2045056357,,10
299,86,OCT,2023,Entercom Communications,724972922289,EC2 - Other,0.7277364597,,10
300,87,OCT,2023,Entercom Communications,724972922289,EC2 - Other,18.3779804349,,10
301,88,OCT,2023,Entercom Communications,724972922289,EC2 - Other,1043.3512950154,,10
302,89,OCT,2023,Entercom Communications,724972922289,EC2 - Other,95.6835387074,,10
303,90,OCT,2023,Entercom Communications,724972922289,EC2 - Other,2455.4516818443,,10
304,91,OCT,2023,Entercom Communications,724972922289,EC2 - Other,348.8622109011,,10
305,92,OCT,2023,Entercom Communications,724972922289,Amazon Elastic Compute Cloud - Compute,133393.2566394901,,10
